Year,Country,gdp,expectancy,undernourishment,unemployment,co2
YR2002,United States,37997.7596573051,76.9365853658537,2.5,5.78,19.4455302807915
YR2002,Canada,24255.3385818322,79.5307317073171,2.5,7.66,16.7204106851899
YR2002,Uruguay,4115.15461366223,75.54,3.5,16.65,1.37023464202144
YR2002,Chile,4479.17504395379,77.445,3.2,10.17,3.12998963284203
YR2002,Argentina,2579.48876933284,74.408,3.8,19.59,3.10048866797723
YR2002,Costa Rica,4021.42536130228,77.983,5.0,6.33,1.33972958478134
YR2002,Mexico,7650.93186425866,74.106,3.7,3.0,3.82496794571377
YR2002,Brazil,2824.71539582671,70.41,9.3,10.64,1.76065124423135
YR2002,Peru,2003.97108061855,71.661,22.9,4.84,1.0145053670813
YR2002,Ecuador,2184.209243808,73.613,22.7,4.899,1.84936294858181
YR2002,Colombia,2421.16210341989,71.939,9.1,15.63,1.41822635805315
YR2002,Paraguay,1361.24928059287,70.025,9.3,9.39,0.714157085049651
YR2002,Bolivia,888.198576030752,63.306,26.9,2.49,0.936961095694518
YR2002,"Venezuela, RB",3667.20019363107,72.662,15.1,16.17,5.55635365761753
YR2003,United States,39490.2749557007,77.0365853658537,2.5,5.99,19.5065055322014
YR2003,Canada,28300.4630963791,79.7151219512195,2.5,7.57,17.2083591886595
YR2003,Uruguay,3638.94354770831,75.785,3.7,16.66,1.35523451438915
YR2003,Chile,4824.22054120463,77.387,3.2,9.77,3.16541052235459
YR2003,Argentina,3333.15290388997,74.08,4.5,15.36,3.33489087930132
YR2003,Costa Rica,4123.5064871039,78.072,5.2,6.56,1.38444495906757
YR2003,Mexico,7120.37212084792,74.274,4.3,3.46,3.95094019007698
YR2003,Brazil,3056.64968001868,70.72,7.9,11.17,1.70185253648103
YR2003,Peru,2126.13782387391,72.217,23.1,4.15,0.983143204871561
YR2003,Ecuador,2438.34368429156,73.975,22.7,5.66,1.85365453180709
YR2003,Colombia,2305.17050671011,72.361,9.8,14.19,1.38137348068341
YR2003,Paraguay,1436.76490433294,70.297,8.8,6.81,0.735552619023868
YR2003,Bolivia,892.355380474993,63.635,27.7,2.533,0.980272657274545
YR2003,"Venezuela, RB",3243.36880476351,71.94,14.6,16.78,5.26607894204137
YR2004,United States,41724.6316287624,77.4878048780488,2.5,5.53,19.5976167070584
